SEX,LENGTH,DIAM,HEIGHT,WHOLE,SHUCK,RINGS,CLASS
I,5.565,4.095,1.26,11.5,4.3125,6,A1
I,3.675,2.625,0.84,3.5,1.1875,4,A1
I,10.08,7.35,2.205,79.375,44,6,A1
I,4.095,3.15,0.945,4.6875,2.25,3,A1
I,6.93,4.83,1.785,21.1875,9.875,6,A1
I,7.875,6.09,2.1,27.375,11.5625,6,A1
I,6.3,4.62,1.68,16.029375,5.9375,5,A1
I,6.615,4.935,1.575,18.5625,7.3125,6,A1
I,5.25,3.885,1.365,8.875,3.375,5,A1
I,6.615,4.83,1.47,20.5,7.8125,6,A1
I,6.195,4.62,1.47,17.0625,7.1875,6,A1
I,5.67,4.2,1.47,12.5,4.25,5,A1
I,4.515,3.255,1.26,6.759375,2.625,5,A1
I,5.88,4.2,1.575,15.3125,6.8125,5,A1
I,6.3,4.83,1.785,14.625,6.25,6,A1
I,3.885,2.835,0.84,3.375,1.3125,5,A1
I,8.085,5.88,2.625,30.5,12.75,6,A1
I,4.305,3.15,1.365,5.665,2.5,4,A1
I,7.455,5.67,1.575,22.1875,9.875,6,A1
I,8.4,6.09,2.1,33.4375,15.0625,5,A1
I,9.135,6.825,2.31,45.875,19.9375,6,A1
I,6.93,4.305,1.995,19.9375,9.625,5,A1
I,7.14,5.355,1.575,22.5,9.3125,6,A1
I,6.3,4.935,1.68,16.375,6.25,4,A1
I,8.4,6.3,2.415,39.75,16.6875,6,A1
I,3.465,2.52,0.63,2.6875,0.875,3,A1
I,8.61,6.72,1.995,36.3125,17.625,5,A1
I,7.77,5.775,1.68,29.0625,11.625,6,A1
I,3.99,2.94,0.63,3.9375,1.5625,3,A1
I,5.46,4.2,1.47,11.5,4.625,6,A1
I,6.405,4.725,1.89,18.3125,7.875,6,A1
I,7.98,6.09,2.1,29.625,13.5,6,A1
I,5.88,4.515,1.68,16.5,9,5,A1
I,7.665,5.67,1.785,24.625,10.1875,6,A1
I,9.24,7.245,2.415,68.125,33.625,6,A1
I,5.04,3.675,1.155,8.8125,3.125,5,A1
I,4.305,3.255,0.945,6.1875,2.9375,3,A1
I,5.25,3.78,1.26,9.125,3.5,5,A1
I,5.775,4.62,1.68,17.0625,7.0625,6,A1
I,7.35,5.25,1.47,22.5,8.1875,6,A1
I,6.3,4.62,1.365,15.4375,7.375,5,A1
I,2.835,2.73,0.84,3.625,1.5625,4,A1
I,4.2,3.045,0.525,4.3125,1.375,5,A1
I,4.725,3.36,0.945,7.08125,3.125,4,A1
I,6.825,5.04,1.575,19,8.125,6,A1
I,7.77,5.88,2.1,27.625,14.5625,6,A1
I,8.61,6.825,2.1,40.5625,16.5,6,A1
I,7.98,5.985,1.785,29.625,14.375,6,A1
I,6.72,4.935,1.365,17.3125,7.25,5,A1
I,6.51,4.935,1.47,18.875,7.875,6,A1
I,7.665,5.67,1.785,23.4375,10.125,6,A1
I,9.87,7.455,2.52,46.0625,15.75,6,A1
I,3.78,2.73,0.945,4.055625,1.5625,3,A1
I,7.14,5.145,1.785,25.1875,12.5625,6,A1
I,8.295,6.3,1.89,35.6875,17.3125,5,A1
I,8.715,6.615,1.89,45.3125,21.875,6,A1
I,3.465,2.52,1.05,3.3475,0.9375,3,A1
I,6.72,4.305,1.68,22.625,11,5,A1
I,8.4,6.51,2.1,38.25,16.25,6,A1
I,7.35,5.25,1.575,21.1875,10.4375,6,A1
I,6.825,5.04,1.575,23.375,10.3125,6,A1
I,8.4,6.195,1.995,31.5,13.8125,6,A1
I,5.355,3.99,1.575,10.8125,4.3125,5,A1
I,8.82,6.615,2.1,42.9375,19.625,6,A1
I,2.73,1.995,0.735,1.93125,0.625,4,A1
I,8.82,6.405,1.89,41,21,6,A1
I,5.04,3.675,0.945,9.65625,3.9375,5,A1
I,7.665,5.67,1.89,26.9375,12.5625,6,A1
I,6.3,4.83,1.575,15.875,6.5,6,A1
I,7.98,5.775,2.31,32,13.75,6,A1
I,9.66,7.245,2.415,52.6875,23.6875,6,A1
I,3.36,2.31,0.525,2.25,0.8125,3,A1
I,5.88,4.41,1.785,13.4375,5.1875,5,A1
I,7.98,5.88,1.785,34.1875,14.375,6,A1
I,4.935,3.675,1.365,7.6875,2.5625,6,A1
I,8.4,6.615,2.1,40.3125,17.875,6,A1
I,4.83,3.57,1.05,7.125,3.25,5,A1
I,7.56,5.88,1.68,25.943125,10.125,6,A1
I,7.875,6.09,1.995,35.9375,15.375,6,A1
I,6.72,4.725,1.785,17.6875,8.4375,6,A1
I,7.14,5.46,1.68,25,10,6,A1
I,8.505,6.3,2.205,38,18.1875,6,A1
I,9.87,7.35,2.625,53.9375,23.75,6,A1
I,9.87,7.98,2.625,60.5625,26.375,6,A1
I,6.195,4.83,1.68,20.3125,8.125,5,A1
I,7.77,5.67,1.995,27.1875,12.125,6,A1
I,2.73,2.1,0.63,1.625,0.5625,3,A1
I,8.925,6.93,2.415,40.8125,16.4375,6,A1
I,3.36,2.31,0.525,2.4375,0.9375,4,A1
I,4.515,3.57,1.155,7.5625,2.5625,6,A1
I,9.03,7.14,2.205,55.0625,29.8125,6,A1
I,8.715,6.615,2.1,45.5625,22.0625,8,A2
I,8.61,6.3,2.1,35.25,15.6875,7,A2
I,7.56,5.67,1.995,25,9.125,8,A2
I,8.295,6.72,2.1,38.4375,18.625,8,A2
I,9.975,7.35,2.1,56.8125,27.0625,7,A2
I,8.61,6.51,1.89,42.375,19.375,7,A2
I,10.92,8.61,2.31,64.8125,27.0625,8,A2
I,10.92,8.19,2.73,69.3125,29.4375,7,A2
I,11.55,9.45,2.94,94.125,43.0625,8,A2
I,11.445,9.135,2.835,96.4375,46.5,8,A2
I,7.665,5.67,1.785,25.625,9.75,7,A2
I,9.135,7.875,2.31,51.9375,21.25,8,A2
I,9.975,7.56,3.045,79.0625,35.3125,8,A2
I,6.93,4.725,1.575,23.375,11.8125,7,A2
I,9.975,8.085,2.31,71.6875,38.875,7,A2
I,11.55,8.925,3.15,95.8125,42.375,8,A2
I,11.025,8.295,2.52,76,37.125,8,A2
I,9.87,7.875,2.52,60.875,24.5,8,A2
I,10.71,8.085,3.045,95.8125,49.8125,8,A2
I,7.455,5.46,1.89,24.0625,9.625,8,A2
I,7.77,5.67,1.89,23.1875,8.75,7,A2
I,12.075,9.03,2.73,92.8125,36.1875,8,A2
I,9.345,6.72,2.52,47.25,19,8,A2
I,11.655,9.135,2.94,95.625,49.3125,8,A2
I,10.92,8.61,2.52,74.375,29.8125,8,A2
I,8.925,6.3,1.995,43.9375,17.625,8,A2
I,8.505,6.3,1.785,37.9375,18.75,7,A2
I,9.135,6.825,2.52,49.9375,22.6875,8,A2
I,8.61,6.615,1.995,35.0625,14.25,7,A2
I,8.19,5.88,1.89,26.875,10.5625,8,A2
I,8.925,6.51,1.995,38.4375,17.375,7,A2
I,9.345,7.245,2.52,50.4375,21.125,7,A2
I,7.875,6.09,2.94,37.5,17.5,8,A2
I,8.61,6.825,2.205,45.125,20.0625,8,A2
I,9.66,7.14,1.89,48,22.4375,8,A2
I,9.03,6.615,2.415,48,23.5625,8,A2
I,8.19,6.615,1.89,38.6875,18.375,7,A2
I,8.505,6.3,2.52,40.5,15.8125,7,A2
