ZipCode,CustomerAge,SamsungTV46LED,SonyTV42LED,XBOX360,DellLaptop,BoseSoundSystem,BoseHeadSet,SonyHeadSet,iPod,iPhone,Panasonic50LED,SonyPS4,WiiU,WDexternalHD,SamsungTV55LED,SonyTV60LED,SandiskMemoryCard,SonySoundSystem,SonyCamera,PanasonicCamera,HPPrinter,SonyDVDplayer,ToshibaDVDplayer,GalaxyTablet,SurfaceTablet,HPLaptop,HDMICable,SpeakerCable,CallOfDutyGame,GrandTheftAutoGame,ASUSLaptop,LenevoLaptop,TVStandWallMount
30134,35,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1
62791,43,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1
60611,23,1,,0,1,0,,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,,1,1
60616,56,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
30303,25,1,,0,,1,1,1,0,0,0,0,0,1,10,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,10,0
2108,55,1,1,1,1,10,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0
90033,44,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1
,49,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1
33129,33,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,1,1,,0,1
2109,37,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0
2109,57,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1
90024,,0,1,1,1,0,0,1,11,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1
30303,34,1,1,,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,10,1,0,1,0,0,1,1,0
62791,27,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1
60585,22,1,1,1,111,0,0,0,0,0,,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1
930134,43,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,11,1
60616,43,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1
2110,28,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1
60616,54,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1
60603,59,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1
30134,28,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0
33130,27,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
44114,33,1,1,1,1,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1
60616,43,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1
30303,43,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1
2108,23,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,9,1,1,1,1,1,0,0,1
90033,56,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0
2109,25,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1
90024,51,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1
2109,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1
90024,37,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0
30134,923,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1
60585,25,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,8,1,1,1,0,0,1,1,0
30134,27,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1
