RespondentID,Personal_JavaScalaSpark,Personal_JavaScriptHTMLCSS,Personal_Python,Personal_R,Personal_SAS,Professional_JavaScalaSpark,Professional_JavaScriptHTMLCSS,Professional_Python,Professional_R,Professional_SAS,Industry_JavaScalaSpark,Industry_JavaScriptHTMLCSS,Industry_Python,Industry_R,Industry_SAS,Python_Course_Interest,Foundations_DE_Course_Interest,Analytics_App_Course_Interest,Systems_Analysis_Course_Interest,Courses_Completed,PREDICT400,PREDICT401,PREDICT410,PREDICT411,PREDICT413,PREDICT420,PREDICT422,PREDICT450,PREDICT451,PREDICT452,PREDICT453,PREDICT454,PREDICT455,PREDICT456,PREDICT457,OtherPython,OtherR,OtherSAS,Other,Graduate_Date
5135740122,0,0,0,50,50,0,0,0,25,75,0,0,0,50,50,50,90,51,50,NA,,,,,,,,,,,,,,,,,,,,
5133300037,10,10,50,30,0,25,25,30,20,0,20,25,40,15,0,20,50,90,50,6,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Spring 2018
5132253300,20,0,40,40,0,0,0,40,40,20,30,0,30,40,0,100,70,100,60,4,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Fall 2018
5132096630,10,10,25,35,20,10,10,25,35,20,10,10,25,35,20,85,60,90,82,7,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Fall 2017
5131990362,20,0,0,70,10,20,0,0,80,0,40,0,0,60,0,60,10,40,80,7,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,,,,,,,,,,,,,,CS-435 with Weka,Fall 2018
5131860849,25,15,30,30,0,10,30,30,30,0,15,15,30,40,0,90,50,75,80,5,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Fall 2018
5131698528,20,0,40,30,10,70,0,25,5,0,40,10,30,20,0,100,100,100,100,11,,PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),PREDICT 413 Time Series Analysis and Forecasting (R),PREDICT 420 Database Systems and Data Preparation (Python),PREDICT 422 Practical Machine Learning (R),,,PREDICT 452 Web Analytics and Network Data Science (Python),,,PREDICT 455 Data Visualization (R),,,,,,,Summer 2019
5130809490,0,0,40,40,20,20,20,40,0,20,0,10,30,40,20,100,100,50,50,2,PREDICT 400 Math for Modelers (Python),,,,,,,,,,,,,,,,,,,Summer 2018
5130188921,30,15,20,20,15,30,20,30,15,5,25,20,35,10,10,80,60,80,90,3,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),,,,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,,,,Fall 2018
5129721525,0,0,50,50,0,0,0,50,50,0,0,0,50,50,0,100,50,100,100,6,PREDICT 400 Math for Modelers (Python),PREDICT 401 Introduction to Statistical Analysis (R),PREDICT 410 Regression and Multivariate Analysis (SAS),PREDICT 411 Generalized Linear Models (SAS),,PREDICT 420 Database Systems and Data Preparation (Python),,,,,,,,,,,Other Course with R as the Primary Language,,,Winter 2019
