President,Age,Days,Years,Ht,HtOpp
Washington,57,2864,10,188, 
J. Adams,61,1460,29,170,189
Jefferson,57,2921,26,189,170
Madison,57,2921,28,163, 
Monroe,58,2921,15,183, 
J. Q. Adams,57,1460,23,171,191
Jackson,61,2921,17,185,171
Van Buren,54,1460,25,168,180
Harrison,68,31,0,173,168
Polk,49,1460,4,173,185
Taylor,64,491,1,173,174
Pierce,48,1460,16,178,196
Buchanan,65,1460,12,183,175
Lincoln,52,1503,4,193,188
Grant,46,2921,17,173, 
Hayes,54,1460,16,173,178
Garfield,49,199,0,183,187
Cleveland,47,2920,24,180,180
Harrison,55,1460,12,168,180
McKinley,54,1655,4,170,178
T. Roosevelt,42,2727,18,178,175
Taft,51,1460,21,182,178
Wilson,56,2921,11,180,182
Harding,55,881,2,183,178
Coolidge,51,2039,9,178,180
Hoover,54,1460,36,182,180
F. Roosevelt,51,4452,12,188,182
Truman,60,2810,28,175,173
Eisenhower,62,2922,16,179,178
J. Kennedy,43,1036,3,183,182
Johnson,55,1886,9,192,180
Nixon,56,2027,25,182,180
Carter,52,1461, ,177,183
Reagan,69,2922,23,185,177
G. H. W. Bush,64,1461, ,188,173
Clinton,46,2922, ,188,188
G. W. Bush,54,2920, ,183,185
Obama,47, , ,188,175
