"Y" "X" "region" "year"
"1" 115.72 2726.4 "A" 1
"2" 130.6 3770 "A" 1
"3" 172.8 3490 "A" 1
"4" 135.6 4788 "A" 1
"5" 128.8 3932 "A" 1
"6" 177.2 5634 "A" 1
"7" 236.2 5370 "A" 1
"8" 201 5042 "A" 1
"9" 152.6 4254 "A" 1
"10" 93 4368 "B" 1
"11" 158 3980 "B" 1
"12" 197 4870 "B" 1
"13" 226.2 4198 "B" 1
"14" 180.6 3872 "B" 1
"15" 229.6 3832 "B" 1
"16" 141.2 3726 "B" 1
"17" 108 3259.2 "B" 1
"18" 123 2715.2 "B" 1
"19" 117 3288 "B" 1
"20" 116 3788 "B" 1
"21" 128 4002 "B" 1
"22" 132.757047917658 4416 "C" 1
"23" 127.648454951316 4442 "C" 1
"24" 174.222111798612 3348 "C" 1
"25" 142.826335254682 3018 "C" 1
"26" 136.805624818866 2768 "C" 1
"27" 134.455314217212 2436 "C" 1
"28" 255.852262101257 2974 "C" 1
"29" 129.234791276584 3752 "C" 1
"30" 126.759080091717 2794 "C" 1
"31" 150.073350918219 2878 "C" 1
"32" 163.197073728425 2718 "C" 1
"33" 79.1853528581476 1684.8 "C" 1
"34" 153.131464821344 1960 "C" 1
"35" 210.803419918424 3152 "C" 1
"36" 143.54387888589 3480 "C" 1
"37" 137.477919271633 3628 "C" 1
"38" 256 3840 "D" 1
"39" 155 3402 "D" 1
"40" 256 4176 "D" 1
"41" 164 4094 "D" 1
"42" 234 3676 "D" 1
"43" 194 3864 "D" 1
"44" 182 3506 "D" 1
"45" 230 5138 "D" 1
"46" 210 4320 "D" 1
"47" 196.8 4012 "D" 1
"48" 326 5114 "D" 1
"49" 324 3040 "D" 1
"50" 204 3704 "D" 1
"51" 158 3176 "A" 2
"52" 118 4038 "A" 2
"53" 240 3664 "A" 2
"54" 116 5190 "A" 2
"55" 140 4618 "A" 2
"56" 166 6032 "A" 2
"57" 302 5822 "A" 2
"58" 208 5428 "A" 2
"59" 182 4358 "A" 2
"60" 124 4538 "B" 2
"61" 168 4344 "B" 2
"62" 158 5482 "B" 2
"63" 246 4870 "B" 2
"64" 198 4246 "B" 2
"65" 243.2 3361.6 "B" 2
"66" 198.4 3240 "B" 2
"67" 134 4034 "B" 2
"68" 134 2980 "B" 2
"69" 154 3272 "B" 2
"70" 76 3998 "B" 2
"71" 172 4126 "B" 2
"72" 171.32606423644 4088 "C" 2
"73" 268.277039370894 4003.2 "C" 2
"74" 152.980947808152 3656 "C" 2
"75" 179.979085444693 2460 "C" 2
"76" 197.433578809379 2848 "C" 2
"77" 122.409675836969 2280 "C" 2
"78" 96.2789263517129 3082 "C" 2
"79" 278.956662456651 3902 "C" 2
"80" 152.703119231349 2810 "C" 2
"81" 143.100113939908 2142.4 "C" 2
"82" 136.613413528954 1755.2 "C" 2
"83" 210.237318916212 1682 "C" 2
"84" 137.134246554707 2164 "C" 2
"85" 157.46840651181 2788 "C" 2
"86" 169.142951839385 3280 "C" 2
"87" 129.648198885094 3578 "C" 2
"88" 256 3404 "D" 2
"89" 120 2856 "D" 2
"90" 256 3900 "D" 2
"91" 164 4200 "D" 2
"92" 234 2822 "D" 2
"93" 194 3574 "D" 2
"94" 182 3100 "D" 2
"95" 230 5434 "D" 2
"96" 210 4896 "D" 2
"97" 196.8 3323.2 "D" 2
"98" 326 5456 "D" 2
"99" 324 5812 "D" 2
"100" 204 4546 "D" 2
"101" 90 2594 "A" 3
"102" 82 3862 "A" 3
"103" 160 2728 "A" 3
"104" 142 5172 "A" 3
"105" 220 4266 "A" 3
"106" 254 6484 "A" 3
"107" 234 4232 "A" 3
"108" 190 6224 "A" 3
"109" 220 4494 "A" 3
"110" 62 4730 "B" 3
"111" 148 4522 "B" 3
"112" 236 6212 "B" 3
"113" 206.4 3347.2 "B" 3
"114" 163.2 3179.2 "B" 3
"115" 216 4548 "B" 3
"116" 84 4444 "B" 3
"117" 82 4050 "B" 3
"118" 112 4270 "B" 3
"119" 80 3298 "B" 3
"120" 156 4360 "B" 3
"121" 84 4420 "B" 3
"122" 305.706254381604 4628.8 "C" 3
"123" 181.168091238502 4294.4 "C" 3
"124" 274.350224251867 4136 "C" 3
"125" 150.198057366889 2362 "C" 3
"126" 131.373326265276 2946 "C" 3
"127" 111.119762926796 2340 "C" 3
"128" 165.192783827196 3192 "C" 3
"129" 147.007536594363 3200 "C" 3
"130" 180.297828756482 2112 "C" 3
"131" 89.0200324771018 2598 "C" 3
"132" 140.725489968066 2154 "C" 3
"133" 49.5803755904048 1602 "C" 3
"134" 162.345060191687 2066 "C" 3
"135" 95.1133690873201 2356 "C" 3
"136" 96.2304913166125 3084 "C" 3
"137" 188.390602971886 3378 "C" 3
"138" 224 3542 "D" 3
"139" 156 3352 "D" 3
"140" 266 4332 "D" 3
"141" 228 4798 "D" 3
"142" 84 4530 "D" 3
"143" 284 3714 "D" 3
"144" 250 2716 "D" 3
"145" 161.6 4660.8 "D" 3
"146" 244 4684 "D" 3
"147" 252 4100 "D" 3
"148" 284 5582 "D" 3
"149" 212 5932 "D" 3
"150" 242 5324 "D" 3
