PRICE,SQFT,YEAR,BATHS,FEATS,NBR,CORNER,TAX
1350,1142,1959,1.5,0,NO,NO,557.5
2550,1478,1961,2,3,YES,YES,1565
1550,1480,1965,1.5,4,NO,NO,1275
1827.5,1299,1967,1,6,YES,NO,1462.5
1800,1121,1968,1.5,4,YES,NO,995
1747.5,1400,1969,1.5,1,NO,YES,1202.5
1750,1505,1969,1.5,2,NO,YES,1477.5
1800,1050,1970,1,1,YES,NO,1027.5
1925,900,1971,1,3,NO,NO,977.5
1750,1215,1971,1.5,3,YES,NO,1192.5
1872.5,1733,1971,1.5,6,YES,NO,1640
3950,2563,1971,2,2,NO,NO,2972.5
1675,1181,1972,1,4,YES,NO,1100
1812.5,1140,1973,1,3,YES,YES,1225
2125,1190,1973,1,1,YES,NO,1500
2175,1280,1974,1,1,YES,NO,1497.5
2347.5,1428,1974,1.5,2,NO,NO,1752.5
2225,1746,1975,1,2,YES,NO,1477.5
2050,1375,1976,1.5,1,NO,NO,1462.5
2190,1156,1977,1,1,YES,NO,1492.5
1950,1080,1979,1,3,NO,NO,1500
2622.5,1900,1980,2,3,YES,NO,1725
2675,1464,1981,1.5,2,NO,NO,940
2550,1713,1984,1.5,4,YES,YES,1500
3882.5,2200,1986,2,4,YES,NO,2587.5
3762.5,2931,1986,2.5,3,YES,YES,2855
3250,2000,1988,2,3,YES,NO,2690
2700,2200,1988,2,4,YES,NO,2690
3247.5,2743,1989,2,5,YES,YES,3080
1812.5,1280,1991,1,3,NO,NO,1117.5
3375,2253,1991,2,4,YES,NO,2347.5
1775,1083,1992,1,4,YES,NO,1260
1650,1159,1993,1,0,NO,NO,562.5
2247.5,1464,1994,1,2,YES,NO,1415
2335,1543,1994,1.5,3,YES,NO,2050
1500,1198,1995,1,4,NO,NO,1075
3997.5,2440,1995,2,5,YES,NO,3162.5
1822.5,1007,1995,1,6,YES,NO,1282.5
2750,1657,1995,1.5,4,YES,NO,2162.5
2925,1928,1996,1,8,YES,NO,1500
1932.5,1320,1997,1,5,YES,NO,1285
2087.5,1560,1997,1.5,5,YES,YES,1595
2305,1326,1997,1.5,4,YES,NO,1670
2437.5,1360,1997,1,4,YES,NO,1740
2847.5,1680,1997,1.5,4,YES,YES,1875
2400,1573,1997,1,6,YES,NO,1920
3125,2277,1997,2,4,YES,NO,2525
3125,2180,1997,2,4,YES,YES,2852.5
2250,1400,1998,1,2,YES,YES,1827.5
2887.5,1767,1998,1,4,YES,NO,1985
2812.5,1710,1998,1.5,4,YES,NO,2000
2487.5,1725,1998,1,3,YES,NO,2307.5
1450,1051,1999,1,2,NO,NO,1065
2312.5,1050,1999,1,2,YES,YES,1382.5
