FULL,ASSOCIATE,ASSISTANT
83,57.5,46.1
78.9,49.7,42.5
75.4,51.4,43.8
70.2,50.8,41.5
93.3,70,56.4
79.3,55,49.4
70.96,52.35,44.86
71.6,47.8,39.5
70.3,45.7,40.8
75.5,51.7,43.9
63.5,46,40.3
69.5,50.4,42.8
91.2,64.4,50
64.9,49.6,42.4
90.5,64.1,56.2
73.1,54,44.8
92.7,54.9,43
67.1,49.7,40
70.2,47.9,40.7
86.9,57.3,50.9
90.2,52.3,43.2
65.5,48.4,42.6
68.8,49.1,40.3
79.8,53.7,44.8
67.1,48.4,41.7
66.5,47.6,41.8
71.4,50.8,40.8
96.5,55.7,50
82.6,57.3,47.6
56.7,42.7,38.7
65.7,46.9,38.2
76.8,51.4,41.9
72.9,50.9,44.3
72.4,49.4,41.6
87,61.6,51.1
73,53.7,41.6
68.8,48.7,41
67.1,48.3,39.5
63,46.1,38.8
62.4,47.3,38.8
77.9,55.2,46.1
55.9,41.8,35.9
76.9,51.5,42.9
66.7,46.9,41.3
56.1,42,35.3
75,50.5,43
65.3,46.3,40
61,44,37.2
85.1,56.8,51
83.4,55.8,43
