TYPE,BOWL,CASS,DISH,TRAY,DIAM,TIME,PRICE,RATE
cass,0,1,0,0,10.7,47.65,144,3.02
cass,0,1,0,0,14,63.13,169,2.68
cass,0,1,0,0,9,58.76,105,1.79
bowl,1,0,0,0,8,34.88,69,1.98
dish,0,0,1,0,10,55.53,134,2.41
cass,0,1,0,0,10.5,43.14,129,2.99
tray,0,0,0,1,16,54.86,155,2.83
tray,0,0,0,1,15,44.14,99,2.24
dish,0,0,1,0,6.5,17.46,38.5,2.21
dish,0,0,1,0,5,21.04,36.5,1.73
tray,0,0,0,1,15,49,128,2.61
bowl,1,0,0,0,10.4,17.67,54,3.06
bowl,1,0,0,0,7.4,16.41,39,2.38
bowl,1,0,0,0,5.4,12.02,29.5,2.45
cass,0,1,0,0,15.4,49.48,109,2.2
cass,0,1,0,0,12.4,48.74,89.5,1.84
bowl,1,0,0,0,6,23.21,42,1.81
bowl,1,0,0,0,9,28.64,65,2.27
bowl,1,0,0,0,9,44.95,115,2.56
plate,0,0,0,0,12.4,23.77,49.5,2.08
bowl,1,0,0,0,7.5,20.21,36.5,1.81
bowl,1,0,0,0,14,32.62,109,3.34
bowl,1,0,0,0,7,17.84,45,2.52
bowl,1,0,0,0,9,22.82,58,2.54
bowl,1,0,0,0,12,29.48,89,3.02
bowl,1,0,0,0,5.5,15.61,30,1.92
bowl,1,0,0,0,6,13.25,31,2.34
bowl,1,0,0,0,12,45.78,119,2.6
tray,0,0,0,1,5.5,26.53,22,0.83
bowl,1,0,0,0,14.2,37.11,109,2.94
dish,0,0,1,0,13,45.12,99,2.19
plate,0,0,0,0,16,26.09,79,3.03
cass,0,1,0,0,13.5,68.63,179,2.61
dish,0,0,1,0,11.1,33.71,99,2.94
dish,0,0,1,0,9.8,44.45,89,2
bowl,1,0,0,0,10,23.74,75,3.16
cass,0,1,0,0,13,66.42,156.7,2.36
bowl,1,0,0,0,13,39.71,93,2.34
plate,0,0,0,0,11.7,26.52,65,2.45
tray,0,0,0,1,12.3,33.89,74,2.18
tray,0,0,0,1,19.5,64.3,165,2.57
bowl,1,0,0,0,15.2,42.55,99,2.33
plate,0,0,0,0,10,31.86,43.5,1.37
bowl,1,0,0,0,11,53.18,94,1.77
tray,0,0,0,1,17.8,74.48,189,2.54
tray,0,0,0,1,11.5,34.16,75,2.2
tray,0,0,0,1,12.7,31.46,59.5,1.89
bowl,1,0,0,0,8,21.34,42,1.97
tray,0,0,0,1,7.5,20.83,23,1.1
bowl,1,0,0,0,9,20.59,52.5,2.55
cass,0,1,0,0,14,33.7,99,2.94
cass,0,1,0,0,12.4,32.9,89,2.71
dish,0,0,1,0,8.8,27.76,65,2.34
bowl,1,0,0,0,8.5,30.2,54.5,1.8
plate,0,0,0,0,6,20.85,24.5,1.18
plate,0,0,0,0,11,26.25,52,1.98
plate,0,0,0,0,11.1,21.87,62.5,2.86
plate,0,0,0,0,14.5,23.88,69,2.89
plate,0,0,0,0,5,16.66,21.5,1.29
